row ID,MZ_RT,cor, p_value,p_value_corrected,L9,CE,L5,L10,L8,L4,L2,L3,L11,L7,L6,L17,L18,L15,L13,L14,L16,L12,L1
719,453.343706_9.1829605,0.687010447,0.001156204,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.24E-04,2.66E-10,2.74E-10,2.31E-03,2.07E-03,1.00E-03,3.66E-04,9.95E-04,6.00E-04,4.84E-04,1.72E-10
3047,608.4472041_28.68755,-0.325838944,0.173394752,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,4.72E-04,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.03E-03
1840,222.1125143_18.15901,-0.149148103,0.54225286,1,0.000915672,0.001536634,0.001702437,0.000767875,0.00085403,0.003035111,0.003217145,0.003816256,0.000658359,0.000916493,0.001169352,0.007259967,0.001069234,0.000173818,0.000440216,0.000304841,0.000269402,0.000692706,0.000234661
2370,249.0869326_23.483503,0.232396186,0.338356906,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,1.17E-03,1.72E-10
3275,407.2340198_31.184221,-0.115493654,0.637762804,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,3.59E-03,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
2925,593.4233349_27.823223,-0.370678588,0.118212538,1,4.84E-10,1.66E-04,2.58E-10,3.97E-10,4.22E-10,1.46E-05,6.16E-04,2.54E-04,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.08E-03
2485,172.1333056_24.267023,-0.262677575,0.277268795,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,9.86E-04
774,180.0935943_9.583332,-0.708929737,0.000678306,1,5.64E-04,7.47E-04,1.10E-03,6.43E-04,6.49E-04,1.58E-03,1.04E-03,1.25E-03,6.10E-05,6.25E-04,9.13E-04,7.52E-05,8.44E-05,2.67E-05,2.69E-05,5.23E-05,5.79E-05,1.76E-04,2.17E-04
3036,688.4837255_28.544209,-0.262677153,0.277269595,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,3.61E-04
3306,311.3056564_31.680178,-0.262676644,0.27727056,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,2.05E-04
2363,294.2428075_23.439096,-0.22288425,0.359045149,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,1.13E-04,5.25E-10,5.28E-05,4.52E-10,3.51E-05,6.66E-04
1247,152.0530108_12.959101,-0.509196958,0.025966745,1,4.84E-10,3.30E-04,3.95E-04,3.97E-10,4.22E-10,6.70E-04,4.74E-04,5.84E-04,5.17E-10,1.04E-04,2.52E-04,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
2747,630.4420392_26.321617,-0.312899521,0.192114716,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,1.15E-04,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,3.71E-04
1999,298.2741676_19.878727,0.391377134,0.09751412,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,1.73E-04,2.66E-10,2.74E-10,1.25E-04,2.49E-04,6.86E-04,3.07E-04,5.30E-04,2.05E-04,3.50E-04,6.16E-04
